Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
A decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-10-11,1000.0,0.0,Yes,Yes
One  gown  ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-10-11,1000.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,2000.0,0.0,Yes,Yes
A  decoration  piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,1800.0,0.0,Yes,Yes
One flower vase ,Decoration Pieces,"Mr.  Shaukat  Aziz, Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,5500.0,0.0,Yes,Yes
A book,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,0.0,0.0,Yes,Yes
A CD ,Not Specified,"Mr.  Shaukat  Aziz,  Prime",Gen. Musharraf,2005-12-13,0.0,0.0,Yes,Yes
A glass Jar,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,1500.0,0.0,Yes,Yes
A fountain pen,Pen,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,17000.0,1050.0,Yes,Yes
A Shield,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,0.0,0.0,Yes,Yes
A decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,6000.0,0.0,Yes,Yes
An Insignia of OPCW,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,0.0,0.0,Yes,Yes
A coin,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,49100.0,5865.0,Yes,Yes
Five pen stands,Pen,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,5000.0,0.0,Yes,Yes
A jewelry box,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,3500.0,0.0,Yes,Yes
One appreciation plaque,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-13,0.0,0.0,Yes,Yes
One glass bottle,Not Specified,"Dr.  Abdul  Hafeez  Shaikh,
Minister for privatization",Gen. Musharraf,2005-01-03,250.0,0.0,Yes,Yes
One  MP-,Weapons,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-03-05,59250.0,7387.0,Yes,Yes
A  book  ,Not Specified,"Mr. Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,0.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,9000.0,0.0,Yes,Yes
a,Not Specified,"Begum  Sahiba,  Wife  of
Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,1450.0,0.0,Yes,Yes
Gulabdan,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,3000.0,0.0,Yes,Yes
a,Not Specified,"Begum  Sahiba,  Wife  of
Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,17700.0,1150.0,Yes,Yes
One shield,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,2500.0,0.0,Yes,Yes
A wall hanging ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,3500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,8000.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,4500.0,0.0,Yes,Yes
Photographs  duly,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,0.0,0.0,Yes,Yes
a,Not Specified,"Mr. Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,9700.0,0.0,Yes,Yes
A Ceramic plate,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,1800.0,0.0,Yes,Yes
A  tea  set  ,Crockery,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,6500.0,0.0,Yes,Yes
Achievement  award,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-06-08,1200.0,0.0,Yes,Yes
A Wrist watch MDM,Watch,"Col.  ®  Salik  Nawaz,
Deputy  Chief  of  Protocol,
Ministry of foreign Affairs",Military,2005-06-08,58000.0,7200.0,Yes,Yes
A  wrist  Watch  Concord,Watch,"Col.  ®  Salik  Nawaz,
Deputy  Chief  Protocol,",Military,2005-06-08,40000.0,4500.0,Yes,Yes
A silver pot,Not Specified,"Mr.  Sikandar  Hayat  Khan
Bosan,  Minister  for  Food
and Agriculture",Gen. Musharraf,2005-09-12,7000.0,0.0,Yes,Yes
One White Porcelain Tea,Crockery,"Mr.  Sikandar  Hayat  Khan
Bosan,  Minister  for Food
and Agriculture",Gen. Musharraf,2005-09-12,1500.0,0.0,Yes,Yes
One Clay Jar Porcelain,Not Specified,"General  Pervez  Musharaf,
President of Pakistan",Military,2005-11-14,5500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,2500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,15000.0,750.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,10000.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,400.0,0.0,Yes,Yes
a,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,9500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,1000.0,0.0,Yes,Yes
A cigarette box,Cigar/Cigarettes,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,1500.0,0.0,Yes,Yes
A shield,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,2500.0,0.0,Yes,Yes
A book ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,0.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,2500.0,0.0,Yes,Yes
A Ship Handle,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,0.0,0.0,Yes,Yes
a,Crockery,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,6200.0,0.0,Yes,Yes
A  decoration  Piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,1200.0,0.0,Yes,Yes
A plate,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,3000.0,0.0,Yes,Yes
A cloth wall Hanging,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-12-15,1500.0,0.0,Yes,Yes
One  Wrist  watch  Piaget,Watch,"Sheikh  Rasheed  Ahmed
Minster  for  information  &
Broadcasting",Gen. Musharraf,2005-12-15,185000.0,26250.0,Yes,Yes
One  Wrist  watch,Watch,"Sheikh  Rasheed  Ahmed
Minster  for  information  &
Broadcasting",Gen. Musharraf,2005-12-15,18000.0,1200.0,Yes,Yes
a,Cigar/Cigarettes,"Mr.  Shaukat  Aziz, Prime
Minister of Pakistan",Gen. Musharraf,2005-04-08,92000.0,12300.0,Yes,Yes
A Wall hanging,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-04-08,1500.0,0.0,Yes,Yes
A wall Hanging,Not Specified,"Mr.  Shaukat Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-04-08,1800.0,0.0,Yes,Yes
A kehwa set ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-04-08,4000.0,0.0,Yes,Yes
Three  packets  of,Not Specified,"Mr.  Shaukat  Aziz,  Prime",Gen. Musharraf,2005-06-10,5500.0,0.0,Yes,Yes
One Flower pot ,Not Specified,"Mir.  Ahmed  Waqar,
Secretary  Ministry  of
Petroleum  &  Natural
Resources",Gen. Musharraf,2005-06-10,5000.0,0.0,Yes,Yes
A  wrist  watch  Rolex,Watch,"Mr.  Muhammad  Nasser
Khan  Mengal,  Minister  of
State  for  petroleum  &
Natural Resources",Gen. Musharraf,2005-06-10,550000.0,81000.0,Yes,Yes
a,Watch,"Mr.  Muhammad  Nasser
Khan  Mengal,  Minister  of
State  for  petroleum &
Natural Resources",Gen. Musharraf,2005-06-10,26600.0,2490.0,Yes,Yes
One  Wrist  Watch  Rolex,Watch,"Mr.  Munir  Khan  Orakzai,
Parliamentary  leader
FATA",MMA,2005-12-17,0.0,25500.0,Yes,Yes
A  wrist  Watch  Concord,Watch,"Mr.  Munir  Khan  Orakzai,
Parliamentary  leader,
FATA",MMA,2005-12-17,40000.0,4500.0,Yes,Yes
A silver dish,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-01-06,3500.0,0.0,Yes,Yes
A  crystal  decoration,Decoration Pieces,"Minister  for  Food  and
Agriculture,
Mr.  Sikandar  Hayat  Khan
Bosan",Gen. Musharraf,2005-09-14,15000.0,750.0,Yes,Yes
One  wrist  watch  Tag,Watch,"Major  General  Shaukat
Sulman Khan, D.G ISPR ",Military,2005-12-17,70000.0,9000.0,Yes,Yes
a,Not Specified,"Secretary  Ministry  of
petroleum  &  Natural
Resources",Gen. Musharraf,2005-12-17,0.0,0.0,Yes,Yes
a,Watch,"Secretary  Ministry  of
petroleum  &  Natural
Resources",Gen. Musharraf,2005-12-17,57000.0,7050.0,Yes,Yes
Wrist Watch Victoria,Watch,Secretary  Ministry  of,Gen. Musharraf,2005-12-17,18000.0,1200.0,Amount,Amount
Wooden Box,Not Specified,"Col.  ®  Salik  Nawaz  DCP
to Prime Minister",Military,2005-03-09,2000.0,0.0,Yes,Yes
One  Silver  Decoration,Decoration Pieces,"Col.  ®  Salik  Nawaz  DCP
to Prime Minister",Military,2005-03-09,1600.0,0.0,Yes,Yes
One  Camera  ,Not Specified,"Dr.  Waqar  Masood  Khan,
Prime Minister Secretariat",Unknown,2005-05-11,4000.0,0.0,Yes,Yes
A copy of Holy Quran in,Not Specified,"Mr.  Jehangir  Bashar,
Secretary,  Board  of
Investment",Bureaucracy,2005-11-17,0.0,0.0,Yes,Yes
Gift  box  containing  two,Not Specified,"Engr.  Dr.  M.  Akram
Sheikh,  Deputy  Chairman
Planning Commission",Unknown,2005-01-08,350.0,0.0,Yes,Yes
A carpet,Carpet,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-01-08,14000.0,600.0,Yes,Yes
a,"Watch, Weapons","Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-02-09,275000.0,39750.0,Yes,Yes
One MP-,Weapons,"Mr.  Shaukat  Aziz  Prime
Minister, of Pakistan",Gen Mus,2005-02-09,59554.0,7433.0,Yes,Yes
One  Creative  DC-CAM,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-04-11,9000.0,0.0,Yes,Yes
One  Wrist  Watch,Watch,"General  Pervez  Musharaf,
President of Pakistan",Military,2005-07-14,500000.0,73500.0,Yes,Yes
One Wrist watch Omega,Watch,"Mr.  Sikandar  Hayat  Khan
Bosan,  Federal  Minister
for  Food  Agriculture  &
Livestock",Unknown,2005-07-14,85000.0,11250.0,Yes,Yes
One  wrist  watch  Tag,Watch,"Mr.  Shahid  Mehmood
senior  Television
Engineer,  PTV
Headquarters",Media,2005-08-15,70000.0,9000.0,Yes,Yes
One Wrist Watch Hublot,Watch,"Mr.  Muhammad  Saleem,
Information  Officer
President Sectt.",Unknown,2005-08-15,58000.0,7200.0,Yes,Yes
One  Wrist  Watch  Tag,Watch,"Mr.  Masood  Alam,
Engineer PTV",Media,2005-08-15,70000.0,9000.0,Yes,Yes
One  Wrist  Watch  Tag,Watch,"Mr.  Ali  Imran,  Senior
Reporter APP",Media,2005-08-15,70000.0,9000.0,Yes,Yes
One Jewellery set,Not Specified,"Auditor  General  of
Pakistan",Unknown,2005-09-16,1800.0,0.0,Yes,Yes
One  wooden  Vase  china,Decoration Pieces,"Mr.  Jehangir  Bashar,
Secretary,  Board  of
Investment",Bureaucracy,2005-12-19,1200.0,0.0,Yes,Yes
One Bowl,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-02-10,1500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-02-10,4000.0,0.0,Yes,Yes
One Wall hanging,Not Specified,"Begum  Sahiba,  wife  of
Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-02-10,550.0,0.0,Yes,Yes
One  Pen  set,Pen,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-02-10,2500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-02-10,250.0,0.0,Yes,Yes
Four Books,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-02-10,0.0,0.0,Yes,Yes
Ball  Pen  ,Pen,"Mr.  Sikandar  Hayat  Khan
Bosan,  Minister  for  Food,
Agriculture & Livestock",Unknown,2005-05-13,20000.0,1500.0,Yes,Yes
One  Wrist  Watch  TAG,Watch,"Mr.  Safdar  Ali,  Protocol
Assistant  President
Secretariat",Unknown,2005-06-14,70000.0,9000.0,Yes,Yes
One  Wrist  Watch  TAG,Watch,"Mr.  Safdar  Ali,  Protocol
Assistant  President
Secretariat",Unknown,2005-06-14,5500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,7000.0,0.0,Yes,Yes
Three neckties,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,3600.0,0.0,Yes,Yes
One book,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,0.0,0.0,Yes,Yes
Two books,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,0.0,0.0,Yes,Yes
a,Pen,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,46500.0,5475.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,6900.0,0.0,Yes,Yes
One  flower  vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,3500.0,0.0,Yes,Yes
One  decoration  piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,1500.0,0.0,Yes,Yes
a,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,2000.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,3200.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,31000.0,3150.0,Yes,Yes
One Golf Kit,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,1000.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,500.0,0.0,Yes,Yes
One table clock,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,800.0,0.0,Yes,Yes
One  jewelry  box,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,1500.0,0.0,Yes,Yes
a,Pen,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,1600.0,0.0,Yes,Yes
One bowl ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,3000.0,0.0,Yes,Yes
One  prestige  Annual,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,0.0,0.0,Yes,Yes
One  decoration  piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,1200.0,0.0,Yes,Yes
One  book  ,Not Specified,"Mr.  Shaukat  Aziz,  Prime",Gen Mus,2005-08-16,0.0,0.0,Yes,Yes
One decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,9000.0,0.0,Yes,Yes
One pen stand,Pen,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,2000.0,0.0,Yes,Yes
One table set,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,8000.0,0.0,Yes,Yes
One bowl with cover,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-08-16,2500.0,0.0,Yes,Yes
One silver candy bowl,Not Specified,"General  Pervez  Musharaf,
President of Pakistan",Military,2005-08-16,20000.0,1500.0,Yes,Yes
A Bowl,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-09-17,5000.0,0.0,Yes,Yes
Two ladies,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-09-17,0.0,0.0,Yes,Yes
A wall Hanging,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-09-17,3000.0,0.0,Yes,Yes
A decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-09-17,0.0,0.0,Yes,Yes
Camera  Olympus  ,Not Specified,"Col.  ®  Salik  Nawaz,
Deputy  Chief  of  Protocol
foreign Affairs",Military,2005-05-14,4000.0,0.0,Yes,Yes
a,Crockery,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-01-11,982400.0,145860.0,Yes,Yes
One  Wrist watch  Corum,Watch,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-01-11,850000.0,0.0,Auctioned,"Auctioned for
Rs.355,000/-"
a,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-01-11,2800.0,0.0,Yes,Yes
A Bowl,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-01-11,3000.0,0.0,Yes,Yes
A  Wrist  Watch  Rolex,Watch,"Dr.  Abdul  Hafeez  Sheikh,
Minister for privatization",Unknown,2005-08-18,550000.0,0.0,Auctioned,"Auctioned for
Rs.331,011/-"
a,Watch,"Dr.  Abdul  Hafeez  Sheikh,
Minister for privatization",Unknown,2005-08-18,26600.0,2490.0,Yes,Yes
A Cigarette Box,Cigar/Cigarettes,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-16,1500.0,0.0,Yes,Yes
One shield,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-16,0.0,0.0,Yes,Yes
One ceramic plate,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-16,450.0,0.0,Yes,Yes
A Book,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-16,0.0,0.0,Yes,Yes
Five book,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-16,0.0,0.0,Yes,Yes
A shield,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-16,0.0,0.0,Yes,Yes
A Cigar Box,Cigar/Cigarettes,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-16,5000.0,0.0,Yes,Yes
A Kehwa Set,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-16,600.0,0.0,Yes,Yes
Replica of Elephant,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-16,2000.0,0.0,Yes,Yes
A  table  set  consisting,Pen,"Mr.  Sikandar  Hayat  Khan
Bosan,  Federal  Minister
for  Food  Agriculture  &
Livestock",Unknown,2005-06-17,3500.0,0.0,Yes,Yes
Sony  Cyber ,Not Specified,"Admiral  Asaf  Humayun
SI(M) DG MTC",Unknown,2005-07-18,16000.0,900.0,Yes,Yes
a,Watch,"Brig.  Irfan  Azam  Military
Secretary  to  Prime
Minister",Military,2005-07-18,47000.0,5550.0,Yes,Yes
one Afghan Carpet,Carpet,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,7000.0,0.0,Yes,Yes
A long vase,Decoration Pieces,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,1500.0,0.0,Yes,Yes
MP,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,12500.0,0.0,Yes,Yes
A  Camera  PC-Cam  ,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,4500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,9500.0,0.0,Yes,Yes
A  framed  secenery  duly,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,3500.0,0.0,Yes,Yes
A crystal Glass vase,Decoration Pieces,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,3000.0,0.0,Yes,Yes
A  Book  title  Gross,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,0.0,0.0,Yes,Yes
Two Books,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,0.0,0.0,Yes,Yes
A Cigarette Box,Cigar/Cigarettes,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,1500.0,0.0,Yes,Yes
One  Wooden  Jewellery,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,1000.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,1400.0,0.0,Yes,Yes
Embroidered  cut  work,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,1300.0,0.0,Yes,Yes
Wooden  Box  containing,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Affairs Minister",Unknown,2005-03-15,1200.0,0.0,Yes,Yes
A Flower vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,9500.0,0.0,Yes,Yes
A Dupatta,Not Specified,"Begum  Sahiba,  Wife  of
Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,250.0,0.0,Yes,Yes
A ladies suit,Not Specified,"Begum  Sahiba,  Wife  of
Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,1000.0,0.0,Yes,Yes
Model  of  Nagore,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,1800.0,0.0,Yes,Yes
One painting,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,6000.0,0.0,Yes,Yes
A shield,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,400.0,0.0,Yes,Yes
Model  of  Putra  Mosque,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,3500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,11200.0,180.0,Yes,Yes
A shield ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,6000.0,0.0,Yes,Yes
One  Decoration  piece,Decoration Pieces,"Begum  Sahiba,  Wife  of
Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,7000.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,3600.0,0.0,Yes,Yes
a,Watch,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,543000.0,79950.0,Yes,Yes
A  picture  of  the  Empire,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,800.0,0.0,Yes,Yes
A dagger,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,5500.0,0.0,Yes,Yes
a,Bags,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,2005-05-17,800.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,1650.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,21650.0,1748.0,Yes,Yes
A decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,750.0,0.0,Yes,Yes
A shield,Not Specified,"Mr.  Shaukat  Aziz,  Prime",Gen Mus,2005-05-17,500.0,0.0,Yes,Yes
A lady suit,Not Specified,"Begum  Sahiba,  Wife  of
Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2005-05-17,3000.0,0.0,Yes,Yes
